,region,time,yields
0,AFG.1_1,1982,
1,AFG.1_1,1983,
2,AFG.1_1,1984,
3,AFG.1_1,1985,
4,AFG.1_1,1986,
5,AFG.1_1,1987,
6,AFG.1_1,1988,
7,AFG.1_1,1989,
8,AFG.1_1,1990,
9,AFG.1_1,1991,
10,AFG.1_1,1992,
11,AFG.1_1,1993,
12,AFG.1_1,1994,
13,AFG.1_1,1995,
14,AFG.1_1,1996,
15,AFG.1_1,1997,
16,AFG.1_1,1998,
17,AFG.1_1,1999,
18,AFG.1_1,2000,
19,AFG.1_1,2001,
20,AFG.1_1,2002,
21,AFG.1_1,2003,
22,AFG.1_1,2004,
23,AFG.1_1,2005,
24,AFG.1_1,2006,
25,AFG.1_1,2007,
26,AFG.1_1,2008,
27,AFG.1_1,2009,
28,AFG.1_1,2010,
29,AFG.1_1,2011,
30,AFG.1_1,2012,
31,AFG.1_1,2013,
32,AFG.1_1,2014,
33,AFG.1_1,2015,
34,AFG.2_1,1982,
35,AFG.2_1,1983,
36,AFG.2_1,1984,
37,AFG.2_1,1985,
38,AFG.2_1,1986,
39,AFG.2_1,1987,
40,AFG.2_1,1988,
41,AFG.2_1,1989,
42,AFG.2_1,1990,
43,AFG.2_1,1991,
44,AFG.2_1,1992,
45,AFG.2_1,1993,
46,AFG.2_1,1994,
47,AFG.2_1,1995,
48,AFG.2_1,1996,
49,AFG.2_1,1997,
50,AFG.2_1,1998,
51,AFG.2_1,1999,
52,AFG.2_1,2000,
53,AFG.2_1,2001,
54,AFG.2_1,2002,
55,AFG.2_1,2003,
56,AFG.2_1,2004,
57,AFG.2_1,2005,
58,AFG.2_1,2006,
59,AFG.2_1,2007,
60,AFG.2_1,2008,
61,AFG.2_1,2009,
62,AFG.2_1,2010,
63,AFG.2_1,2011,
64,AFG.2_1,2012,
65,AFG.2_1,2013,
66,AFG.2_1,2014,
67,AFG.2_1,2015,
68,AFG.3_1,1982,
69,AFG.3_1,1983,
70,AFG.3_1,1984,
71,AFG.3_1,1985,
72,AFG.3_1,1986,
73,AFG.3_1,1987,
74,AFG.3_1,1988,
75,AFG.3_1,1989,
76,AFG.3_1,1990,
77,AFG.3_1,1991,
78,AFG.3_1,1992,
79,AFG.3_1,1993,
80,AFG.3_1,1994,
81,AFG.3_1,1995,
82,AFG.3_1,1996,
83,AFG.3_1,1997,
84,AFG.3_1,1998,
85,AFG.3_1,1999,
86,AFG.3_1,2000,
87,AFG.3_1,2001,
88,AFG.3_1,2002,
89,AFG.3_1,2003,
90,AFG.3_1,2004,
91,AFG.3_1,2005,
92,AFG.3_1,2006,
93,AFG.3_1,2007,
94,AFG.3_1,2008,
95,AFG.3_1,2009,
96,AFG.3_1,2010,
97,AFG.3_1,2011,
98,AFG.3_1,2012,
99,AFG.3_1,2013,
100,AFG.3_1,2014,
101,AFG.3_1,2015,
102,AFG.4_1,1982,
103,AFG.4_1,1983,
104,AFG.4_1,1984,
105,AFG.4_1,1985,
106,AFG.4_1,1986,
107,AFG.4_1,1987,
108,AFG.4_1,1988,
109,AFG.4_1,1989,
110,AFG.4_1,1990,
111,AFG.4_1,1991,
112,AFG.4_1,1992,
113,AFG.4_1,1993,
114,AFG.4_1,1994,
115,AFG.4_1,1995,
116,AFG.4_1,1996,
117,AFG.4_1,1997,
118,AFG.4_1,1998,
119,AFG.4_1,1999,
120,AFG.4_1,2000,
121,AFG.4_1,2001,
122,AFG.4_1,2002,
123,AFG.4_1,2003,
124,AFG.4_1,2004,
125,AFG.4_1,2005,
126,AFG.4_1,2006,
127,AFG.4_1,2007,
128,AFG.4_1,2008,
129,AFG.4_1,2009,
130,AFG.4_1,2010,
131,AFG.4_1,2011,
132,AFG.4_1,2012,
133,AFG.4_1,2013,
134,AFG.4_1,2014,
135,AFG.4_1,2015,
136,AFG.5_1,1982,
137,AFG.5_1,1983,
138,AFG.5_1,1984,
139,AFG.5_1,1985,
140,AFG.5_1,1986,
141,AFG.5_1,1987,
142,AFG.5_1,1988,
143,AFG.5_1,1989,
144,AFG.5_1,1990,
145,AFG.5_1,1991,
